codigo de articulo ;Descripcion;codigo de barras ;Proveedor;Departamento;Categoria;Marca
28361;CH.MUMM BRUT ROSE X750;7,79156E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;MUMM
23141;CHOC.COFLER LECHE-CEREAL X100G;7,79058E+12;Pezuk Ruben Ramon - Arcor;ALMACEN;GOLOSINAS Y CHOCOLATES;COFLER
72041;ESPINACA LUCCHETTI X400G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Frutas y Vegetales Congelados;LUCCHETTI
71489;BROCOLI LUCCHETTI X300G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Frutas y Vegetales Congelados;LUCCHETTI
8992;CH.CONCHA Y TORO D/SEC X750;7,79804E+12;TRIVENTO BODEGAS Y VIÑEDOS S.A.;BEBIDAS;ESPUMANTES;CONCHA Y TORO
8996;CH.TOCORNAL DULCE X750;7,79804E+12;TRIVENTO BODEGAS Y VIÑEDOS S.A.;BEBIDAS;ESPUMANTES;TOCORNAL
27341;HUEVITO BON O BON 60X8G;7,79058E+12;Pezuk Ruben Ramon - Arcor;ALMACEN;GOLOSINAS Y CHOCOLATES;BON O BON
8994;CH.TOCORNAL DEMISEC X750;7,79804E+12;TRIVENTO BODEGAS Y VIÑEDOS S.A.;BEBIDAS;ESPUMANTES;TOCORNAL
8993;CH.TOCORNAL ROSADO X750;7,79804E+12;TRIVENTO BODEGAS Y VIÑEDOS S.A.;BEBIDAS;ESPUMANTES;TOCORNAL
53207;V/FANTELLI TARDIO TINTO X500;7,79563E+12;ODA VINOTECA;BEBIDAS;VINOS TINTOS;FANTELLI
57061;CH.NORTON DEMISEC;7,79232E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;NORTON
21756;CH.NORTON DEMISEC X750;7,79232E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;NORTON
5811;MIX PRIMAV.G/DEL SOL X400G;7,79006E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Frutas y Vegetales Congelados;GRANJA DEL SOL
8990;CH.CONCHA Y TORO E/BRUT X750;7,79804E+12;TRIVENTO BODEGAS Y VIÑEDOS S.A.;BEBIDAS;ESPUMANTES;CONCHA Y TORO
8989;CH.CONCHA Y TORO BRUT X750;7,79804E+12;TRIVENTO BODEGAS Y VIÑEDOS S.A.;BEBIDAS;ESPUMANTES;CONCHA Y TORO
74755;CH.SAN FELIPE E/DULCE X750;7,79058E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;SAN FELIPE
60155;MILANES SOJA GDS FAMI.FLO.X660;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;FRIOS Y CONGELADOS;GRANJA DEL SOL
16106;PAN BIMBO OROWEAT SEMILLA X600;7,79699E+12;ALARCON JUAN JOSE (BIMBO);PANADERIA;DEPARTAMENTO 8;BIMBO
28533;CH.SENETINER E/BRUT X750;7,79344E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;SENETINER
9055;CH.STA.ISABEL E/BRUT X750;7,79344E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;SANTA ISABEL
9003;CH.TOCORNAL BRUT X750;7,79804E+12;TRIVENTO BODEGAS Y VIÑEDOS S.A.;BEBIDAS;ESPUMANTES;TOCORNAL
5727;FILET MERLUZA G/DEL SOL X500G;7,79006E+12;Molinos Rio De la Plata s.a.;CONGELADOS;PESCADOS Y MARISCOS;GRANJA DEL SOL
1196;YOGUR ILOLAY DES.FRUTILL X190G;7,79079E+12;Sucesores de A.Williner s.a.;FRESCOS;LACTEOS;ILOLAY
68650;BASTONCITOS MERL. GDSX300G;7,79006E+12;Molinos Rio De la Plata s.a.;CONGELADOS;PESCADOS Y MARISCOS;GRANJA DEL SOL
1185;YOGUR ILOLAY DES.VAIN X190G;7,79079E+12;Sucesores de A.Williner s.a.;FRESCOS;LACTEOS;ILOLAY
59696;MEDALLON GDS MERLUZA X450G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;PESCADOS Y MARISCOS;GRANJA DEL SOL
30620;SALMON NATURAL CRUSOE 24X114G;84773601770;Pesquera Trans.Antartic Limitada;ALMACEN;CONSERVAS;CREAM FLOW
21762;CH.ALTA VISTA E/BRUT X750;7,79806E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;ALTA VISTA
30619;SALMON E/ACEITE CRUSOE 24X114G;84773601787;Pesquera Trans.Antartic Limitada;ALMACEN;CONSERVAS;CREAM FLOW
30624;ATUN LOMITO E/AGUA CRUSOE X120;84773617504;Pesquera Trans.Antartic Limitada;ALMACEN;CONSERVAS;CREAM FLOW
30625;ATUN LOMITO E/ACEI CRUSOE X120;84773617580;Pesquera Trans.Antartic Limitada;ALMACEN;CONSERVAS;CREAM FLOW
31322;CH.NAVARRO CORREAS E/BRUT;7,79125E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;NAVARRO CORREAS
16145;CH.NOVECENTO ROSADO DCE X750;7,79072E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;NOVECENTO
30618;SALMON AHU/ACEI CRUSOE 24X114G;84773601794;Pesquera Trans.Antartic Limitada;ALMACEN;CONSERVAS;CREAM FLOW
19246;CH.NOVECENTO DULCE X750;7,79072E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;NOVECENTO
26471;BIDON TERMICO COLOR X2.5LT.;8,08349E+11;Proveedores Varios u Ocasionales;HOGAR;TIEMPO LIBRE;GENERICO
15181;CH.NOVECENTO E/BRUT X750;7,79072E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;NOVECENTO
53264;CH.ESC.GASCON E/B X750;7,79042E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;ESCORIHUELA GASCON
61795;PATITAS G/DEL SOL POLLO X1100;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;FRIOS Y CONGELADOS;GRANJA DEL SOL
72799;BOCADITOS LUCCHE.POLLO X800G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;COMIDAS ESPECIALES;LUCCHETTI
72800;FORMITAS POLLO LUCCHETTI X350G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;Carnes Congeladas;LUCCHETTI
78970;BOCADITOS LUCCHE.POLLO X400G;7,79007E+12;Molinos Rio De la Plata s.a.;CONGELADOS;COMIDAS ESPECIALES;LUCCHETTI
26140;CH.MONITOR E/BRUT X750;7,79813E+12;ODA VINOTECA;BEBIDAS;ESPUMANTES;Monitor
8991;CH.CONCHA Y TORO ROSE X750;7,79804E+12;TRIVENTO BODEGAS Y VIÑEDOS S.A.;BEBIDAS;ESPUMANTES;CONCHA Y TORO
52957;ESPECIERO CUADRADO X330CC;7,79811E+12;DILIT S.R.L.;HOGAR;BAZAR;DILIT
95916;YOGUR ILOLAY NATURAL X350GR;7,79079E+12;Sucesores de A.Williner s.a.;FRESCOS;LACTEOS;ILOLAY
52987;LAMP.PHILIPS 13W L/FRIA 6500K;52987;M Y M FABRIZZI S.R.L;HOGAR;ACCESOR.DE HOGAR;PHILIPS
22885;SEMILLA ACELGA DE LYON;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
27666;SEMILLA ACELGA PERCA ANCHA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
27662;SEMILLA ACHICORIA FINA CORTAR;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
22891;SEMILLA ACHICORIA HOJA ANCHA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
27664;SEMILLA ALBAHACA HOJA ANCHA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
22897;SEMILLA APIO GIGANTE;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
22903;SEMILLA ARVEJAS ONWARD;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
22893;SEMILLA CEBOLLA DE VERDEO;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
24274;SEMILLA CEBOLLITA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
22892;SEMILLA COLIFLOR FLORENSA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
22888;SEMILLA DE CEBOLLA FLORENSA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
24278;SEMILLA DE CILANTRO FLORENZA;7,79805E+12;INSUMOS S.A.representaciones;FRUTAS Y VERDURAS;LEGUMBRES, GRANOS, SEMILLAS;FLORENSA
