codigo de articulo ;codigo de barras ;Nombre de producto;Departamento;Categoria
23714;7795815050120;ANILINA COLIBRI - CELESTE;LIMPIEZA;CUIDADO PARA LA ROPA
23713;7795815050106;ANILINA COLIBRI - GRIS OSCURO;LIMPIEZA;CUIDADO PARA LA ROPA
23712;7795815050090;ANILINA COLIBRI - GRIS PERLA;LIMPIEZA;CUIDADO PARA LA ROPA
23697;7795815050304;ANILINA COLIBRI - LILA;LIMPIEZA;CUIDADO PARA LA ROPA
23720;7795815050038;ANILINA COLIBRI - NARANJA;LIMPIEZA;CUIDADO PARA LA ROPA
23717;7795815050076;ANILINA COLIBRI - PARDO ROJIZO;LIMPIEZA;CUIDADO PARA LA ROPA
23707;7795815050212;ANILINA COLIBRI - PUNZO;LIMPIEZA;CUIDADO PARA LA ROPA
23703;7795815050298;ANILINA COLIBRI - PURPURA;LIMPIEZA;CUIDADO PARA LA ROPA
23711;7795815050199;ANILINA COLIBRI - ROSA;LIMPIEZA;CUIDADO PARA LA ROPA
23700;7795815050236;ANILINA COLIBRI - RUBI;LIMPIEZA;CUIDADO PARA LA ROPA
23706;7795815050205;ANILINA COLIBRI - SOLFERINO;LIMPIEZA;CUIDADO PARA LA ROPA
23702;7795815050274;ANILINA COLIBRI - VERDE BRILL;LIMPIEZA;CUIDADO PARA LA ROPA
23701;7795815050267;ANILINA COLIBRI - VERDE CLARO;LIMPIEZA;CUIDADO PARA LA ROPA
23716;7795815050052;ANILINA COLIBRI - VICUÑA;LIMPIEZA;CUIDADO PARA LA ROPA
23699;7795815050328;ANILINA COLIBRI - VIOLETA;LIMPIEZA;CUIDADO PARA LA ROPA
10460;7790520200716;APRESTO KLARO GAT X500;LIMPIEZA;CUIDADO PARA LA ROPA
10466;7790520200723;APRESTO KLARO REP X500;LIMPIEZA;CUIDADO PARA LA ROPA
10458;7790520008411;APRESTO KLARO REP.D/P X500;LIMPIEZA;CUIDADO PARA LA ROPA
20533;7790520984630;APRESTO KLARO RTO. D/P X900;LIMPIEZA;CUIDADO PARA LA ROPA
9849;9849;BAJA- RAID 45NCHES REPX32,9ML;LIMPIEZA;INSECTICIDAS
17643;17643;BAJA-ESPIRAL RAID X4U;LIMPIEZA;INSECTICIDAS
9825;9825;BAJA-RAID APARATO P/TAB ECOX12;LIMPIEZA;INSECTICIDAS
33539;33539;BAJA-RAID TABLETA PROMO;LIMPIEZA;INSECTICIDAS
20465;7796119004086;BALDE DOBLE PICO X8LT;LIMPIEZA;ACCESORIOS DE LIMPIEZA
23902;7896001013841;BALDE OVAL C/EXC MAKE;LIMPIEZA;ACCESORIOS DE LIMPIEZA
9649;7790520984579;BAYGON 4 CEBOS CUCARACHA X12G;LIMPIEZA;INSECTICIDAS
9878;7790520984555;BAYGON MATA HORMIGA AERO X400;LIMPIEZA;INSECTICIDAS
63369;7790520011978;BLEM 3EN1 ALOE/PEP D/P X400ML;LIMPIEZA;PISOS
63368;7790520011961;BLEM 3EN1 FLORAL D/P X400ML;LIMPIEZA;PISOS
15357;7790520012685;BLEM AUTOBRILLO INC.D/P X450;LIMPIEZA;PISOS
15175;7790520007841;BLEM EXPR.NEGRO AUTOBR.X900;LIMPIEZA;PISOS
10222;7790520007742;BLEM EXPRES INCOLOR.D/P X520;LIMPIEZA;PISOS
17674;7790520986757;BLEM PISOS PLASTIFIC.X900CC;LIMPIEZA;PISOS
9327;7790520985620;BLEM PLUMERO ATR-POLVO REP X3U;LIMPIEZA;ACCESORIOS DE LIMPIEZA
10290;7790520002204;BLEM REPUESTO X500;LIMPIEZA;PISOS
22412;7790520986467;BLEM REVOLUTION INC.D/P X450;LIMPIEZA;PISOS
10296;7790520986702;BLEM REVOLUTION INCOL.X900;LIMPIEZA;PISOS
24461;24461;BOLSA SUPCON.LA PORTEÑA 80X110;LIMPIEZA;ACCESORIOS DE LIMPIEZA
16570;16570;CERA SUIZA PASTA NATURAL X800;LIMPIEZA;PISOS
20167;7791290785359;CIF 0;LIMPIEZA;COCINA
67426;7791290013575;COMFORT REG.CLASSIC D/P X3L;LIMPIEZA;CUIDADO PARA LA ROPA
10223;7790528005214;CORAL PAÑO AMERIC 1X35X43CM;LIMPIEZA;PISOS
9670;7790528005009;CORAL REJILLA ECO MULTIUSO;LIMPIEZA;Aromatizantes
18671;7501007485386;DET.MAGISTRAL FLORAL X375;LIMPIEZA;COCINA
19455;7501007485393;DET.MAGISTRAL FLORAL X750;LIMPIEZA;COCINA
25848;7506195125533;DET.MAGISTRAL HIPOALERG 16X600;LIMPIEZA;COCINA
19533;7506195125526;DET.MAGISTRAL HIPOALERG X300;LIMPIEZA;COCINA
59719;7506309814605;DET.MAGISTRAL LAV/VAI X500ML;LIMPIEZA;COCINA
59718;7506309814612;DET.MAGISTRAL LAV/VAI X750ML;LIMPIEZA;COCINA
32654;7506195158623;DET.MAGISTRAL LAVAN-VAI 16X600;LIMPIEZA;COCINA
32660;7506195176740;DET.MAGISTRAL MANZANA X300;LIMPIEZA;COCINA
9407;7501007485362;DET.MAGISTRAL MANZANA X375;LIMPIEZA;COCINA
25846;7501006721515;DET.MAGISTRAL MULTIUSO 16X600;LIMPIEZA;COCINA
32662;7506195176764;DET.MAGISTRAL NARANJA X300;LIMPIEZA;COCINA
18670;7501006738292;DET.MAGISTRAL NARANJA X375;LIMPIEZA;COCINA
25847;7501006721539;DET.MAGISTRAL OXIAZUL 16X600;LIMPIEZA;COCINA
16142;7501006721522;DET.MAGISTRAL OXIAZUL X300;LIMPIEZA;COCINA
52692;7506195101971;DET.MAGISTRAL POWER X600ML;LIMPIEZA;COCINA
9470;7790990166031;DET.ZORRO BRISA MAR X750ML;LIMPIEZA;COCINA
9463;7790990166024;DET.ZORRO NARANJA X750;LIMPIEZA;COCINA
9647;7790520010421;ECHO LISTO NARANJA X900;LIMPIEZA;PISOS
20876;7790528003029;FRANELA NARANJA X 1UNID;LIMPIEZA;INSECTICIDAS
22649;7790520007810;FUYI MMM AEROSOL 450CC;LIMPIEZA;INSECTICIDAS
73857;7790520990013;GEL LIMP.FLORAL PATO PUR.X500M;LIMPIEZA;Aromatizantes
19885;7790520988324;GLADE AC.NAT.REP MIX X6;LIMPIEZA;Aromatizantes
9746;7790520006936;GLADE AC.NAT.REP.VAIN.TWIN PCK;LIMPIEZA;Aromatizantes
